number,title,state,merged,created_at,closed_at,merged_at,cycle_time_hours,base_ref,head_ref,additions,deletions,changed_files,labels,is_task_pr,task_id,target,is_generation_pr,is_recurring_pr
4408,GH-4216: Upgrade cobbler-scaffold v0.20260405.0 → v0.20260406.0,MERGED,True,2026-04-06T23:08:47+00:00,2026-04-06T23:08:55+00:00,2026-04-06T23:08:55+00:00,0.0022,main,gh-4216-upgrade-scaffold,3,1478,116,,False,,,False,False
4406,GH-4211: Post-generation repository cleanup (run 41 smoke test),MERGED,True,2026-04-06T03:08:37+00:00,2026-04-06T03:08:44+00:00,2026-04-06T03:08:44+00:00,0.0019,main,gh-4211-cleanup,0,0,0,,False,,,False,False
4218,GH-4206: Increase weight for requirements that cause long stitch times,MERGED,True,2026-04-05T13:10:04+00:00,2026-04-05T13:10:10+00:00,2026-04-05T13:10:10+00:00,0.0017,main,gh-4206-increase-weights,20,20,12,,False,,,False,False
4217,GH-4214: Migrate interfaces from ARCHITECTURE.yaml to docs/interfaces/,MERGED,True,2026-04-05T12:49:03+00:00,2026-04-05T12:49:10+00:00,2026-04-05T12:49:10+00:00,0.0019,main,gh-4214-migrate-interfaces,131,17,3,,False,,,False,False
4215,"GH-3655: Upgrade cobbler-scaffold v0.20260328.1 → v0.20260405.0, rename PRD → SRD",MERGED,True,2026-04-05T12:34:26+00:00,2026-04-05T12:34:32+00:00,2026-04-05T12:34:32+00:00,0.0017,main,gh-3655-upgrade-scaffold,1969,1938,288,,False,,,False,False
4212,GH-3615: Post-generation run 40b repository cleanup,MERGED,True,2026-03-31T02:44:19+00:00,2026-03-31T02:44:25+00:00,2026-03-31T02:44:25+00:00,0.0017,main,gh-3615-cleanup,16,3,1,,False,,,False,False
4210,"GH-3652: Generation run 40b — 100% requirements (1,475/1,475)",MERGED,True,2026-03-31T02:09:12+00:00,2026-03-31T02:09:19+00:00,2026-03-31T02:09:19+00:00,0.0019,main,generation-gh-3652-run40b,77198,162,260,,False,,,True,False
3654,GH-3647: Upgrade cobbler-scaffold v0.20260328.0 → v0.20260328.1,MERGED,True,2026-03-28T20:34:04+00:00,2026-03-28T20:34:10+00:00,2026-03-28T20:34:10+00:00,0.0017,main,gh-3647-scaffold,3,3,2,,False,,,False,False
3651,GH-3650: Rename rel15.0 use case and test suite files to match roadmap release,MERGED,True,2026-03-28T15:03:35+00:00,2026-03-28T15:06:02+00:00,2026-03-28T15:06:02+00:00,0.0408,main,gh-3650-rename-rel15,129,132,10,,False,,,False,False
3649,GH-3645: Add R-group references to use case touchpoints,MERGED,True,2026-03-28T14:18:06+00:00,2026-03-28T14:18:15+00:00,2026-03-28T14:18:14+00:00,0.0022,main,gh-3645-touchpoints,20,20,20,,False,,,False,False
3648,GH-3646: Upgrade cobbler-scaffold v0.20260327.0 → v0.20260328.0,MERGED,True,2026-03-28T14:14:37+00:00,2026-03-28T14:14:47+00:00,2026-03-28T14:14:47+00:00,0.0028,main,gh-3646-scaffold,4,3,3,,False,,,False,False
3619,GH-3151: Upgrade cobbler-scaffold v0.20260323.0 → v0.20260327.0,MERGED,True,2026-03-28T02:18:51+00:00,2026-03-28T02:19:06+00:00,2026-03-28T02:19:06+00:00,0.0042,main,gh-3151-scaffold,33,3,3,,False,,,False,False
3616,GH-3131: Post-generation cleanup after run 38,MERGED,True,2026-03-28T02:09:32+00:00,2026-03-28T02:09:48+00:00,2026-03-28T02:09:48+00:00,0.0044,main,gh-3131-cleanup,122,73781,249,,False,,,False,False
3614,"GH-2626: Generation run 38 — 105 commands, 73,648 LOC",MERGED,True,2026-03-28T02:04:01+00:00,2026-03-28T02:05:14+00:00,2026-03-28T02:05:14+00:00,0.0203,main,generation-gh-2626-run38,73899,149,254,,False,,,True,False
3612,"Move ts, stty, pr, ptx to rel15.0",MERGED,True,2026-03-27T20:19:14+00:00,2026-03-27T20:19:26+00:00,2026-03-27T20:19:26+00:00,0.0033,main,gh-fix-rel15,25,19,2,,False,,,False,False
3611,"Restore ts, stty, pr, ptx to original releases",MERGED,True,2026-03-27T19:55:04+00:00,2026-03-27T19:55:06+00:00,2026-03-27T19:55:06+00:00,0.0006,main,gh-fix-releases,16,20,2,,False,,,False,False
3610,GH-3569: Split complex PRDs and move to rel99.0,MERGED,True,2026-03-27T19:04:40+00:00,2026-03-27T19:04:48+00:00,2026-03-27T19:04:48+00:00,0.0022,main,gh-3569-split,231,151,7,,False,,,False,False
3159,"GH-3149: Add pkg/format imports to df, dir, vdir",MERGED,True,2026-03-23T13:10:15+00:00,2026-03-23T13:10:24+00:00,2026-03-23T13:10:24+00:00,0.0025,main,gh-3149-audit2,3,0,3,,False,,pkg/format,False,False
3157,"GH-3155: Complete utility catalog — rel13.0, rel13.1, rel14.0",MERGED,True,2026-03-23T13:03:22+00:00,2026-03-23T13:03:31+00:00,2026-03-23T13:03:31+00:00,0.0025,main,gh-3155-specs,1670,0,22,,False,,,False,False
3156,"GH-3153: Specify rel11.1, rel12.0, rel12.1 — users, who, pinky, shred, chroot, install, tsort, pathchk, test, stty",MERGED,True,2026-03-23T12:08:48+00:00,2026-03-23T12:08:59+00:00,2026-03-23T12:08:59+00:00,0.0031,main,gh-3153-specs,1665,0,24,,False,,,False,False
3154,"GH-3146: Specify rel10.1 and rel11.0 — chmod, chgrp, chown, mkfifo, mknod, nice, nohup",MERGED,True,2026-03-23T03:00:01+00:00,2026-03-23T03:00:08+00:00,2026-03-23T03:00:08+00:00,0.0019,main,gh-3146-specs,1298,0,17,,False,,,False,False
3152,GH-3133: Upgrade cobbler-scaffold v0.20260322.0 → v0.20260322.1,MERGED,True,2026-03-23T02:51:58+00:00,2026-03-23T02:52:07+00:00,2026-03-23T02:52:07+00:00,0.0025,main,gh-3133-scaffold,3,3,2,,False,,,False,False
3150,"GH-3148: Add shared pkg/ PRDs (hashutil, sizeparse, encutil) and wire consumers",MERGED,True,2026-03-23T02:48:15+00:00,2026-03-23T02:48:22+00:00,2026-03-23T02:48:22+00:00,0.0019,main,gh-3148-shared,634,0,23,,False,,,False,False
3147,"GH-3144: Specify rel09.1 and rel10.0 — base32, base64, basenc, stat, truncate, link, sync",MERGED,True,2026-03-23T02:35:47+00:00,2026-03-23T02:35:54+00:00,2026-03-23T02:35:54+00:00,0.0019,main,gh-3144-specs,1426,0,17,,False,,,False,False
3145,"GH-1405: Specify rel09.0 — sha224sum, sha384sum, b2sum, cksum, sum",MERGED,True,2026-03-23T02:26:20+00:00,2026-03-23T02:26:27+00:00,2026-03-23T02:26:27+00:00,0.0019,main,gh-1405-specs,1153,0,12,,False,,,False,False
