task_id,task_id_kind,invocation_count,status_history,successful_invocations,productive_invocations,total_cost_usd,wasted_cost_usd,total_duration_s,total_num_turns,first_started_at,last_started_at,span_hours
5010,numeric,2,failed;success,1,1,0.357299,0.0,280,11,2026-04-19T16:33:44Z,2026-04-19T16:59:47Z,0.43
5011,numeric,1,success,1,1,0.864578,0.0,117,14,2026-04-19T17:10:29Z,2026-04-19T17:10:29Z,0.0
5013,numeric,1,success,1,1,0.851279,0.0,102,19,2026-04-19T17:15:00Z,2026-04-19T17:15:00Z,0.0
5014,numeric,3,failed;failed;failed,0,0,0.0,0.0,227,0,2026-04-19T17:16:58Z,2026-04-19T18:52:45Z,1.6
5015,numeric,1,failed,0,0,0.0,0.0,95,0,2026-04-19T18:32:44Z,2026-04-19T18:32:44Z,0.0
5064,numeric,1,success,1,1,1.981373,0.0,103,19,2026-05-13T21:29:17Z,2026-05-13T21:29:17Z,0.0
5065,numeric,1,success,1,1,1.515314,0.0,83,11,2026-05-13T21:31:17Z,2026-05-13T21:31:17Z,0.0
5066,numeric,1,success,1,1,1.9419,0.0,144,20,2026-05-13T21:42:48Z,2026-05-13T21:42:48Z,0.0
5067,numeric,1,success,1,1,1.700324,0.0,85,13,2026-05-13T21:45:30Z,2026-05-13T21:45:30Z,0.0
5069,numeric,1,success,1,1,1.964928,0.0,305,22,2026-05-13T21:52:24Z,2026-05-13T21:52:24Z,0.0
5070,numeric,1,success,1,1,2.176875,0.0,396,20,2026-05-13T21:57:48Z,2026-05-13T21:57:48Z,0.0
5071,numeric,1,success,1,1,1.674179,0.0,163,14,2026-05-13T22:04:45Z,2026-05-13T22:04:45Z,0.0
5072,numeric,1,success,1,0,1.509524,1.509524,106,7,2026-05-13T22:07:44Z,2026-05-13T22:07:44Z,0.0
5074,numeric,1,success,1,1,1.46695,0.0,63,11,2026-05-13T22:20:11Z,2026-05-13T22:20:11Z,0.0
5075,numeric,1,success,1,1,1.667772,0.0,135,11,2026-05-13T22:22:22Z,2026-05-13T22:22:22Z,0.0
5076,numeric,1,success,1,0,1.525141,1.525141,116,8,2026-05-13T22:24:54Z,2026-05-13T22:24:54Z,0.0
5077,numeric,1,success,1,0,1.518159,1.518159,98,8,2026-05-13T22:27:08Z,2026-05-13T22:27:08Z,0.0
5079,numeric,1,success,1,0,1.576217,1.576217,117,17,2026-05-13T22:39:57Z,2026-05-13T22:39:57Z,0.0
5080,numeric,1,success,1,1,1.256603,0.0,41,7,2026-05-13T22:42:09Z,2026-05-13T22:42:09Z,0.0
